equipment_id,category,subcategory,brand,model,public_name,status_public,setup_domain,primary_role,is_hardware,is_software,analog_digital,mono_stereo,power_category,power_notes_public,data_quality_status,privacy_level,public_notes
EQP-0013,instrument,semi_hollow_guitar,D'Angelico,Premier Mini DC,Premier Mini DC,available,instrument,semi_hollow_texture,true,false,not_applicable,not_applicable,not_applicable,not_applicable,sample,public_sample,Representative semi-hollow instrument for clean and atmospheric workflows.
EQP-0014,effect,overdrive,Boss,SD-1,SD-1 Super OverDrive,available,guitar_effect,mid_focused_overdrive,true,false,analog,mono,low_current_9v,9V DC center-negative,verified,public_sample,Gain-stage example for rhythm definition and amplifier interaction.
EQP-0015,effect,delay,Line 6,DL4 MkII,DL4 MkII,available,guitar_effect,multi_mode_delay_looper,true,false,digital,stereo,standard_9v,9V DC center-negative,verified,public_sample,Reusable time-based effect for ambient and recording workflows.
EQP-0016,effect,delay,EarthQuaker Devices,Disaster Transport Legacy,Disaster Transport Legacy,available,guitar_effect,character_delay,true,false,hybrid,mono,standard_9v,9V DC center-negative,sample,public_sample,Character-delay example for textured alternative workflows.
EQP-0017,effect,tremolo,Universal Audio,UAFX Flow,UAFX Flow Tremolo,available,guitar_effect,stereo_tremolo,true,false,digital,stereo,standard_9v,9V DC center-negative,verified,public_sample,Modulation example for rhythmic movement and stereo workflows.
EQP-0018,effect,reverb,Universal Audio,UAFX Evermore,UAFX Evermore Studio Reverb,available,guitar_effect,ambient_reverb,true,false,digital,stereo,standard_9v,9V DC center-negative,verified,public_sample,Ambient reverb example for space-oriented signal chains.
EQP-0019,effect,reverb,Universal Audio,UAFX Heavenly,UAFX Heavenly Plate Reverb,available,guitar_effect,plate_reverb,true,false,digital,stereo,standard_9v,9V DC center-negative,verified,public_sample,Plate-reverb example for focused recording and guitar textures.
EQP-0020,effect,compressor,Universal Audio,UAFX 1176,UAFX 1176 Studio Compressor,available,guitar_effect,fast_peak_control,true,false,digital,mono,standard_9v,9V DC center-negative,verified,public_sample,Compression stage for clean tracking and controlled rhythm workflows.
EQP-0021,amplification,modeling_amp,Boss,Katana 50 Gen 3,Katana 50 Gen 3,available,amplification,versatile_modeling_platform,true,false,digital,mono,standard_amp_power,standard amplifier power supply,verified,public_sample,Flexible low-volume amplifier platform for repeatable practice workflows.
EQP-0022,amplification,tube_combo,Vox,AC4C1-12,AC4C1-12,available,amplification,low_power_tube_combo,true,false,analog,mono,standard_amp_power,standard amplifier power supply,verified,public_sample,Low-power tube-amplifier example for edge-of-breakup workflows.
EQP-0023,amplification,hybrid_head,Orange,Micro Terror,Micro Terror,available,amplification,compact_high_gain_head,true,false,hybrid,mono,standard_amp_power,standard amplifier power supply,verified,public_sample,Compact amplifier head for garage-rock and riff-oriented examples.
EQP-0024,amplification,tube_head,Harley Benton,TUBE15 Head,TUBE15 Head,available,amplification,low_power_tube_head,true,false,analog,mono,standard_amp_power,standard amplifier power supply,sample,public_sample,Public-safe tube-head example for staged gain workflows.
EQP-0025,amplification,tube_combo,Bugera,V5 Infinium,V5 Infinium,available,amplification,attenuated_tube_practice_amp,true,false,analog,mono,standard_amp_power,standard amplifier power supply,verified,public_sample,Low-volume tube-practice platform for apartment-oriented workflows.
EQP-0026,effect,fuzz,Electro-Harmonix,Big Muff Pi,Big Muff Pi,available,guitar_effect,classic_fuzz_sustain,true,false,analog,mono,low_current_9v,9V DC center-negative,verified,public_sample,Alternative fuzz stage for thick rhythm and lead textures.
EQP-0027,amplification,modeling_amp,Boss,Katana 50 MkII EX,Katana 50 MkII EX,available,amplification,modeling_amp_reference,true,false,digital,mono,standard_amp_power,standard amplifier power supply,sample,public_sample,Second modeling-platform record used for comparison and workflow portability.
EQP-0028,effect,reverb,Boss,DR-600,DR-600 Digital Reverb,available,guitar_effect,compact_digital_reverb,true,false,digital,mono,low_current_9v,9V DC center-negative,sample,public_sample,Compact reverb example retained for comparison in simple workflows.
EQP-0029,effect,compressor,Behringer,CS400,CS400 Compressor Sustainer,available,guitar_effect,basic_compression,true,false,analog,mono,low_current_9v,9V DC center-negative,sample,public_sample,Entry-level compression example for comparing workflow roles.
EQP-0030,effect,compressor,Universal Audio,UAFX Teletronix LA-2A,UAFX Teletronix LA-2A,planned,guitar_effect,smooth_leveling_compression,true,false,digital,mono,standard_9v,9V DC center-negative,needs_verification,public_sample,Planned representative record for a future slow-leveling compression comparison.
